event_id,event_ts,cam_id,event_type,track_id,person_id,person_name,bbox,posture,people_count,confidence,snapshot_path,extra
17,2026-03-22 09:53:06.734504-07,CAM_01,FALL,1,,,"[269, 23, 1276, 710]",lying,2,,,{}
18,2026-03-22 09:53:11.501969-07,CAM_01,LYING,1,,,"[325, 134, 1270, 712]",lying,1,,,{}
19,2026-03-22 09:53:15.682798-07,CAM_01,FALL,1,,,"[625, 45, 1278, 715]",lying,1,,,{}
20,2026-03-22 09:53:25.709774-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
21,2026-03-22 09:53:41.665769-07,CAM_01,FALL,1,,,"[192, 16, 1103, 716]",lying,1,,,{}
22,2026-03-22 09:53:41.677661-07,CAM_01,LYING,1,,,"[192, 16, 1103, 716]",lying,1,,,{}
23,2026-03-22 09:53:45.890845-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
24,2026-03-22 09:53:50.678351-07,CAM_01,LYING,31,,,"[434, 590, 615, 719]",lying,2,,,{}
25,2026-03-22 09:53:52.055708-07,CAM_01,FALL,1,,,"[142, 0, 1254, 710]",lying,1,,,{}
26,2026-03-22 09:53:52.069897-07,CAM_01,LYING,1,,,"[142, 0, 1254, 710]",lying,1,,,{}
27,2026-03-22 09:54:06.984519-07,CAM_01,FALL,1,,,"[588, 1, 1276, 710]",lying,1,,,{}
28,2026-03-22 09:54:06.999074-07,CAM_01,LYING,1,,,"[588, 1, 1276, 710]",lying,1,,,{}
29,2026-03-22 09:54:10.460631-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
54,2026-03-24 00:48:04.370696-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
55,2026-03-24 00:48:21.218491-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
56,2026-03-24 02:55:17.778973-07,CAM_01,FALL,1,,,"[0, 69, 1276, 703]",lying,2,,,{}
57,2026-03-24 02:55:17.815071-07,CAM_01,LYING,1,,,"[0, 69, 1276, 703]",lying,2,,,{}
58,2026-03-24 02:55:32.080061-07,CAM_01,LYING,1,,,"[688, 151, 1278, 704]",lying,2,,,{}
59,2026-03-24 02:55:32.21867-07,CAM_01,FALL,1,,,"[0, 101, 1277, 702]",lying,2,,,{}
60,2026-03-24 02:55:35.229724-07,CAM_01,LYING,2,,,"[1, 326, 738, 710]",lying,2,,,{}
61,2026-03-24 02:56:02.044462-07,CAM_01,LYING,3,,,"[2, 4, 1274, 701]",lying,2,,,{}
62,2026-03-24 02:56:04.141559-07,CAM_01,LYING,4,,,"[1, 315, 640, 704]",lying,2,,,{}
63,2026-03-24 02:56:05.631071-07,CAM_01,FALL,1,,,"[2, 2, 1279, 708]",lying,1,,,{}
64,2026-03-24 02:56:05.65832-07,CAM_01,LYING,1,,,"[2, 2, 1279, 708]",lying,1,,,{}
65,2026-03-24 02:56:14.525136-07,CAM_01,FALL,1,,,"[439, 41, 1279, 711]",lying,1,,,{}
66,2026-03-24 02:56:14.55427-07,CAM_01,LYING,1,,,"[439, 41, 1279, 711]",lying,1,,,{}
67,2026-03-24 02:56:22.596558-07,CAM_01,LYING,1,,,"[463, 135, 1279, 713]",lying,1,,,{}
68,2026-03-24 02:56:30.700137-07,CAM_01,LYING,1,,,"[481, 154, 1277, 711]",lying,1,,,{}
69,2026-03-24 02:56:57.736925-07,CAM_01,FALL,1,,,"[2, 1, 1101, 707]",lying,3,,,{}
70,2026-03-24 02:56:57.752342-07,CAM_01,LYING,1,,,"[2, 1, 1101, 707]",lying,3,,,{}
71,2026-03-24 02:57:21.219318-07,CAM_01,FALL,1,,,"[543, 222, 1278, 706]",lying,1,,,{}
72,2026-03-24 02:57:21.246561-07,CAM_01,LYING,1,,,"[543, 222, 1278, 706]",lying,1,,,{}
73,2026-03-24 02:57:48.917643-07,CAM_01,FALL,1,,,"[532, 120, 1279, 711]",lying,1,,,{}
74,2026-03-24 02:57:48.94058-07,CAM_01,LYING,1,,,"[532, 120, 1279, 711]",lying,1,,,{}
75,2026-03-24 02:57:56.941715-07,CAM_01,LYING,1,,,"[472, 103, 1279, 713]",lying,1,,,{}
76,2026-03-24 02:58:04.948796-07,CAM_01,LYING,1,,,"[468, 99, 1278, 712]",lying,2,,,{}
77,2026-03-24 02:59:45.085289-07,CAM_01,FALL,1,,,"[391, 5, 1277, 709]",lying,2,,,{}
78,2026-03-24 02:59:45.098764-07,CAM_01,LYING,1,,,"[391, 5, 1277, 709]",lying,2,,,{}
79,2026-03-24 02:59:46.141703-07,CAM_01,BOTTLE,,,,null,,2,,,"{""count"": 1}"
