sample_id,sample_ts,cam_id,people_count,unknown_count,lying_count,fall_count,extra
265,2026-03-24 00:10:28.83991-07,CAM_01,0,0,0,0,"{""fps"": 4.326213717208666}"
266,2026-03-24 00:10:38.812158-07,CAM_01,0,0,0,0,"{""fps"": 6.525000688944617}"
267,2026-03-24 00:14:02.270703-07,CAM_01,0,0,0,0,"{""fps"": 0.7292118406796304}"
268,2026-03-24 00:14:15.411487-07,CAM_01,0,0,0,0,"{""fps"": 0.7292118406796304}"
269,2026-03-24 00:14:25.410847-07,CAM_01,1,0,0,0,"{""fps"": 30.889779938089028}"
270,2026-03-24 00:14:35.441541-07,CAM_01,1,0,0,0,"{""fps"": 30.000277798671643}"
271,2026-03-24 00:14:45.502233-07,CAM_01,1,0,0,0,"{""fps"": 30.004306919223573}"
272,2026-03-24 00:14:55.524278-07,CAM_01,1,0,0,0,"{""fps"": 28.323202847157393}"
273,2026-03-24 00:15:05.541611-07,CAM_01,1,0,0,0,"{""fps"": 26.484673730718974}"
274,2026-03-24 00:15:15.56861-07,CAM_01,2,0,0,0,"{""fps"": 29.97822197857649}"
275,2026-03-24 00:15:25.573931-07,CAM_01,2,0,0,0,"{""fps"": 29.27729959172505}"
276,2026-03-24 00:15:35.59899-07,CAM_01,2,0,0,0,"{""fps"": 29.96700581720737}"
277,2026-03-24 00:15:45.632773-07,CAM_01,2,0,0,0,"{""fps"": 27.473075396749213}"
278,2026-03-24 00:15:55.66333-07,CAM_01,2,0,0,0,"{""fps"": 28.077408679899282}"
279,2026-03-24 00:16:05.693078-07,CAM_01,2,0,0,0,"{""fps"": 30.674554426201354}"
280,2026-03-24 00:16:15.707239-07,CAM_01,2,0,0,0,"{""fps"": 29.823122028451024}"
281,2026-03-24 00:16:25.724695-07,CAM_01,2,0,0,0,"{""fps"": 30.110972291085446}"
282,2026-03-24 00:16:35.747129-07,CAM_01,2,0,0,0,"{""fps"": 29.078519021108015}"
283,2026-03-24 00:16:45.758042-07,CAM_01,2,0,0,0,"{""fps"": 29.98334379409784}"
284,2026-03-24 00:16:55.78308-07,CAM_01,2,0,0,0,"{""fps"": 29.688281481701694}"
285,2026-03-24 00:17:05.806223-07,CAM_01,2,0,0,0,"{""fps"": 29.58770228937977}"
286,2026-03-24 00:17:15.808703-07,CAM_01,2,0,0,0,"{""fps"": 27.83800993230388}"
